subject,chapter,skill,subskill,trainability,direct_count,embedded_count,coverage_status
MATHEMATICS,Aires et volumes,Calculer des aires,Problèmes d'aires,AUTONOMOUS,12,12,COMPLETE
MATHEMATICS,Aires et volumes,Calculer des volumes,Prisme / pavé / cylindre,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Aires et volumes,Calculer des volumes,Pyramide / cône,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Aires et volumes,Calculer des volumes,Sphère,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,Divisibilité,Critères de divisibilité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,Divisibilité,Multiples et diviseurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,Nombres premiers,Décomposition en facteurs premiers,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,Nombres premiers,Reconnaître un nombre premier,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,PGCD et applications,Algorithme d'Euclide,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Arithmétique,PGCD et applications,Simplification de fractions,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Manipuler des expressions,Parenthèses,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Manipuler des expressions,Produits,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Manipuler des expressions,Sommes algébriques,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Écrire et interpréter une expression,Substituer une valeur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Écrire et interpréter une expression,Tester une égalité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Calcul littéral,Écrire et interpréter une expression,Traduire une situation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Automatismes,Calculs fluides,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Automatismes,Formules usuelles,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Automatismes,Procédures de base,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Automatismes,Rapidité et exactitude,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Calcul mental,Opérations courantes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Calcul mental,Ordres de grandeur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Calcul mental,Pourcentages mentaux,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Démonstration,Enchaîner des arguments,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Démonstration,Hypothèses / conclusion,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Démonstration,Rédiger une preuve,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Outils numériques,Calculatrice,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Outils numériques,Environnement de programmation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Outils numériques,Logiciel de géométrie,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Outils numériques,Tableur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Raisonnement,Conjecturer,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Raisonnement,Contre-exemple,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Raisonnement,Déduire,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Résolution de problèmes,Choisir une stratégie,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Résolution de problèmes,Comprendre l'énoncé,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Résolution de problèmes,Contrôler et conclure,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Compétences transversales,Résolution de problèmes,Mener la résolution,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,Autres grandeurs,Durées,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,Autres grandeurs,Masses,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,Autres grandeurs,Vitesses,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,"Longueurs, aires, volumes",Unités d'aire,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,"Longueurs, aires, volumes",Unités de longueur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Conversions d'unités,"Longueurs, aires, volumes",Unités de volume / capacité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Développer,(a+b)(c+d),AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Développer,Identités remarquables (sens direct),AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Développer,k(a+b),AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Factoriser,Facteur commun,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Factoriser,Identités remarquables (sens inverse),AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Réduire,Ordonner une expression,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Développement, réduction et factorisation",Réduire,Regrouper les termes semblables,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Déterminer une fonction affine,Modéliser une situation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Déterminer une fonction affine,À partir d'un graphique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Déterminer une fonction affine,À partir de deux points,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions affines,Ordonnée à l'origine,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions affines,Tracer la droite,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions affines,y = ax+b,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions linéaires,Coefficient directeur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions linéaires,Lien avec la proportionnalité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions linéaires et affines,Fonctions linéaires,y = ax,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Image et antécédent,Calculer une image,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Image et antécédent,Déterminer un antécédent,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Image et antécédent,Lire sur un graphique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Notion de fonction,Définir une fonction,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Notion de fonction,Notation f(x),AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Notion de fonction,Tableau de valeurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Représentation graphique,Interpréter graphiquement,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fonctions — image et antécédent,Représentation graphique,Tracer une courbe,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Calculer avec des fractions,Addition et soustraction,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Calculer avec des fractions,Division,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Calculer avec des fractions,Multiplication,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Résoudre des problèmes de fractions,Partie d'une quantité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Résoudre des problèmes de fractions,Problèmes contextualisés,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Simplifier et rendre irréductible,Forme irréductible,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Simplifier et rendre irréductible,Fractions égales,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Fractions,Simplifier et rendre irréductible,Utiliser le PGCD,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Représentations,Patrons,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Représentations,Perspective cavalière,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Représentations,Sections planes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Solides usuels,Cylindre / cône / sphère,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Solides usuels,Pavé / cube,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie dans l'espace et solides,Solides usuels,Pyramide / prisme,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Cercle et polygones,Polygones réguliers,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Cercle et polygones,Propriétés du cercle,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Constructions et justifications,Construire à la règle et au compas,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Constructions et justifications,Justifier une propriété,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Triangles,Inégalité triangulaire,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Triangles,Somme des angles,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Géométrie plane,Triangles,Types de triangles,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Homothétie,Construire et calculer,Effet sur les longueurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Homothétie,Construire et calculer,Image d'un point / d'une figure,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Homothétie,Construire et calculer,Lien avec Thalès / agrandissement,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Homothétie,Définition et rapport,Agrandissement / réduction,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Homothétie,Définition et rapport,Centre et rapport k,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Comparer et ordonner,Comparer relatifs et rationnels,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Comparer et ordonner,Repérer sur une droite graduée,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Comparer et ordonner,Situer dans un intervalle,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Opérations sur les relatifs,Addition et soustraction,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Opérations sur les relatifs,Multiplication et division,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Opérations sur les relatifs,Priorités opératoires,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Représenter les rationnels,Fraction et écriture décimale,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Nombres relatifs et rationnels,Représenter les rationnels,Écritures mixtes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Pourcentages,Calculer un pourcentage,Pourcentage d'une quantité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Pourcentages,Calculer un pourcentage,Trouver un taux,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Pourcentages,Évolutions en pourcentage,Augmentation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Pourcentages,Évolutions en pourcentage,Diminution,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Pourcentages,Évolutions en pourcentage,Évolutions successives,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Probabilités,Calculer une probabilité,Arbres / tableaux,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Probabilités,Calculer une probabilité,Probabilité simple,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Probabilités,Calculer une probabilité,Événement contraire,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Probabilités,Vocabulaire des probabilités,Issues et événements,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Probabilités,Vocabulaire des probabilités,Situations équiprobables,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Problèmes numériques,Choisir une stratégie,Décomposer le problème,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Problèmes numériques,Choisir une stratégie,Estimer un ordre de grandeur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Problèmes numériques,Mener un calcul justifié,Enchaîner les étapes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Problèmes numériques,Mener un calcul justifié,Gérer les unités,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Problèmes numériques,Mener un calcul justifié,Présenter le résultat,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Proportionnalité,Calculer dans une situation proportionnelle,Coefficient de proportionnalité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Proportionnalité,Calculer dans une situation proportionnelle,Produit en croix,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Proportionnalité,Calculer dans une situation proportionnelle,Échelles,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Proportionnalité,Reconnaître une situation de proportionnalité,Représentation graphique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Proportionnalité,Reconnaître une situation de proportionnalité,Tableau de proportionnalité,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Notation scientifique,Calculer en notation scientifique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Notation scientifique,Comparer des grandeurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Notation scientifique,Passer en notation scientifique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Propriétés des puissances,Exposants négatifs,AUTONOMOUS,12,12,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Propriétés des puissances,Produit de puissances,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Propriétés des puissances,Quotient de puissances,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Puissances de 10,Calculs avec 10^n,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Puissances et notation scientifique,Puissances de 10,Écriture décimale,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Repérage,Repérage dans l'espace,Coordonnées dans l'espace,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Repérage,Repérage dans l'espace,Lire un solide repéré,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Repérage,Repérage dans le plan,Coordonnées cartésiennes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Repérage,Repérage dans le plan,Distance entre deux points,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Repérage,Repérage dans le plan,Milieu d'un segment,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Scratch et programmation par blocs,Contrôle et interactions,Conditions en blocs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Scratch et programmation par blocs,Contrôle et interactions,Répéter,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Scratch et programmation par blocs,Contrôle et interactions,Variables en blocs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Scratch et programmation par blocs,Scripts et événements,Séquences d'instructions,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Scratch et programmation par blocs,Scripts et événements,Événements,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Indicateurs statistiques,Moyenne,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Indicateurs statistiques,Médiane,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Indicateurs statistiques,Étendue,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Interpréter des données,Lire un graphique,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Interpréter des données,Tirer une conclusion,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Organiser des données,Diagrammes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Organiser des données,Fréquences,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Statistiques,Organiser des données,Tableaux,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Raisonnement géométrique,Rédiger une démonstration courte,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Raisonnement géométrique,Schématiser,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Réciproque de Pythagore,Rédiger une justification,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Réciproque de Pythagore,Tester si un triangle est rectangle,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Théorème de Pythagore,Calculer une longueur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Théorème de Pythagore,Identifier l'hypoténuse,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Pythagore et réciproque,Théorème de Pythagore,Problèmes d'application,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Thalès et réciproque,Réciproque de Thalès,Prouver le parallélisme,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Thalès et réciproque,Réciproque de Thalès,Rédiger la justification,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Thalès et réciproque,Théorème de Thalès,Calculer une longueur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Thalès et réciproque,Théorème de Thalès,Reconnaître une configuration,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Théorème de Thalès et réciproque,Théorème de Thalès,Écrire les rapports,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Isométries,Rotation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Isométries,Symétries,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Isométries,Translation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Propriétés conservées,Conservation des angles,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Propriétés conservées,Conservation des longueurs,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Transformations du plan,Propriétés conservées,Construire l'image d'une figure,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,"Choisir cos, sin ou tan",AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Choisir le bon rapport,Identifier côtés depuis un angle,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Cosinus,Calculer un cosinus,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Cosinus,Définition cos = adj/hyp,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Cosinus,Déterminer un angle,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Sinus,Calculer un sinus,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Sinus,Calculer une longueur,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Sinus,Définition sin = opp/hyp,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Tangente,Calculer une tangente,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Tangente,Définition tan = opp/adj,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Trigonométrie dans le triangle rectangle,Tangente,Problèmes de trigonométrie,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Boucles,Boucle bornée,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Boucles,Boucle non bornée,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Boucles,Faire tourner un algorithme à la main,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Conditions,Conditions booléennes,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Conditions,Si … alors … sinon,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Variables et affectations,Déclarer / affecter,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Variables et affectations,Expressions,AUTONOMOUS,12,12,COMPLETE
MATHEMATICS,"Variables, conditions et boucles",Variables et affectations,Types simples,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Mettre en équation un problème,Choisir l'inconnue,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Mettre en équation un problème,Contrôler la pertinence,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Mettre en équation un problème,Résoudre et interpréter,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Équations du premier degré,Résoudre ax+b=c,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Équations du premier degré,Transformer une équation,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Équations du premier degré,Vérifier une solution,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Équations produit nul,Mettre sous forme produit,AUTONOMOUS,8,8,COMPLETE
MATHEMATICS,Équations,Équations produit nul,Trouver les racines,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Atomes et molécules,Modèle de l'atome,Constituants,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Atomes et molécules,Modèle de l'atome,Tableau périodique,AUTONOMOUS,9,9,COMPLETE
PHYSICS_CHEMISTRY,Atomes et molécules,Modèle de l'atome,Éléments chimiques,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Atomes et molécules,Molécules et formules,Formules chimiques,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Atomes et molécules,Molécules et formules,Modèles moléculaires,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Effets des forces,Diagrammes de forces,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Effets des forces,Modification du mouvement,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Effets des forces,Équilibre,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Identifier des forces,Actions de contact,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Identifier des forces,Actions à distance,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Forces et interactions,Identifier des forces,Poids,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Chaînes énergétiques,Conversions,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Chaînes énergétiques,Rendement,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Chaînes énergétiques,Transferts,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Formes d'énergie,Chimique / thermique,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Formes d'énergie,Cinétique,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Formes et conversions d'énergie,Formes d'énergie,Potentielle,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Lumière et signaux lumineux,Lentilles et images,Formation d'images,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Lumière et signaux lumineux,Lentilles et images,Lentilles convergentes,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Lumière et signaux lumineux,Propagation de la lumière,Ombres,AUTONOMOUS,9,9,COMPLETE
PHYSICS_CHEMISTRY,Lumière et signaux lumineux,Propagation de la lumière,Propagation rectiligne,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Lumière et signaux lumineux,Propagation de la lumière,Vitesse de la lumière,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Masse volumique et identification,Mesurer et calculer,Calculs,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Masse volumique et identification,Mesurer et calculer,Définition ρ = m/V,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Masse volumique et identification,Mesurer et calculer,Identifier une espèce,AUTONOMOUS,11,11,COMPLETE
PHYSICS_CHEMISTRY,Masse volumique et identification,Unités et conversions,Protocole expérimental,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Masse volumique et identification,Unités et conversions,"g/cm³, kg/m³",AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Décrire un mouvement,Rectiligne / circulaire,AUTONOMOUS,12,12,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Décrire un mouvement,Référentiel,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Décrire un mouvement,Trajectoire,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Vitesse,Conversions km/h ↔ m/s,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Vitesse,"Graphiques d(t), v(t)",AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Mouvement et vitesse,Vitesse,v = d/t,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Acides et bases,Indicateurs,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Acides et bases,Neutralisation,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Acides et bases,pH,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Décrire une transformation,Conservation de la masse,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Décrire une transformation,Réactifs / produits,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Réactions chimiques,Décrire une transformation,Équation de réaction,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Son et signaux sonores,Caractéristiques d'un son,Amplitude / intensité,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Son et signaux sonores,Caractéristiques d'un son,Fréquence / hauteur,AUTONOMOUS,8,8,COMPLETE
PHYSICS_CHEMISTRY,Son et signaux sonores,Caractéristiques d'un son,Signal et communication,AUTONOMOUS,8,8,COMPLETE
