subject,domain,chapter,skill,coverage_status,exercise_count,reason,severity,blocking,recommended_action
SVT,Le vivant et son évolution,Reproduction,Développement,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Nutrition et digestion,Aliments et besoins,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Nutrition et digestion,Digestion,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Respiration et circulation,Respiration,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Respiration et circulation,Circulation,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Immunité et santé,Défenses de l'organisme,PARTIAL,45,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
SVT,Le corps humain et la santé,Immunité et santé,Prévention et traitements,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Objets et systèmes techniques,Analyser un objet technique,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Objets et systèmes techniques,Évolution des objets,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'information,Acquérir et traiter,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'information,Commander,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'énergie,Flux d'énergie,PARTIAL,34,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Chaîne d'énergie,Bilans énergétiques,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Conception et modélisation,Démarche de conception,PARTIAL,34,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Conception et modélisation,Modélisation,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques","Informatique, algorithmique et programmation",Algorithmique,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques","Informatique, algorithmique et programmation",Programmer,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Réseaux et données,Architecture des réseaux,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Réseaux et données,Données et sécurité,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Impacts et développement durable,Impacts des objets techniques,PARTIAL,32,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
TECHNOLOGY,"Design, innovation et créativité / Objets et systèmes techniques",Impacts et développement durable,Choix responsables,PARTIAL,12,deficit_after_remap_and_generation,P1,False,CONTINUE_FACTORY_OR_MANUAL_CURATION
